"0167-9473";"Computational Statistics & Data Analysis (Print)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0167-4048";"Computers & Security";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1988-3293";"Comunicar (Huelva. Internet)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"2175-7755";"Comunicação & Sociedade (Online)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1983-9324";"ConScientiae Saúde (Online)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"2175-8751";"ConTexto";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1809-3442";"Conhecimento Interativo";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1413-1536";"Conjuntura & Planejamento";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1807-4871";"Conjuntura Econômica Goiana";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"2236-8760";"Connexio - Revista Científica da Escola de Gestão e Negócios";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"0103-734X";"Contabilidade Vista & Revista";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1984-3925";"Contabilidade, Gestão e Governança";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"0186-1042";"Contaduria y Administracion";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"0010-7212";"Contaduría y administración";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1809-9386";"Contemporanea (UFBA. Online)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1676-6016";"Contexto (UFRGS)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1678-2089";"Contextus (Fortaleza)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1696-8360";"Contribuciones a la Economía";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1988-7833";"Contribuciones a las Ciencias Sociales";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1472-0701";"Corporate Governance (Bradford)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1727-9232";"Corporate Ownership & Control (Print)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
